파일명,카테고리,판정,사유,깃잡음,메치기시도,메치기기술,V넥,색상트림,전자호구,헤드기어,높은발차기,회전발차기,손기술중심,낮은자세손기술,깃형여밈,두꺼운캔버스,여밈,질의,메모
kids\pexels-7045565.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-7045568.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-7045594.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-7988765.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-7988766.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-7988779.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7988833.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7990073.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-7990076.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-7991197.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-7991209.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-8422104.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-8613181.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-8613324.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-8941563.jpg,kids,,,,,,,,,,,,,,,,,kids sports team,
kids\pexels-8941578.jpg,kids,,,,,,,,,,,,,,,,,kids sports team,
kids\pexels-8941580.jpg,kids,,,,,,,,,,,,,,,,,kids sports team,
misc\pexels-17386108.jpg,misc,,,,,,,,,,,,,,,,,sports referee,
misc\pexels-29608292.jpg,misc,,,,,,,,,,,,,,,,,referee whistle game,
misc\pexels-32108803.jpg,misc,,,,,,,,,,,,,,,,,sports referee,
misc\pexels-33109997.jpg,misc,,,,,,,,,,,,,,,,,sports referee,
misc\pexels-34485310.jpg,misc,,,,,,,,,,,,,,,,,referee whistle game,
misc\pexels-38849250.jpg,misc,,,,,,,,,,,,,,,,,sports referee,
misc\pexels-8041993.jpg,misc,,,,,,,,,,,,,,,,,board breaking martial arts,
misc\pexels-8041996.jpg,misc,,,,,,,,,,,,,,,,,board breaking martial arts,
misc\pexels-8041997.jpg,misc,,,,,,,,,,,,,,,,,board breaking martial arts,
misc\pexels-9395507.jpg,misc,,,,,,,,,,,,,,,,,board breaking martial arts,
poomsae\pexels-15937394.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts training solo,
poomsae\pexels-15937515.jpg,poomsae,,,,,,,,,,,,,,,,,fighting stance pose,
poomsae\pexels-19117453.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts form practice,
poomsae\pexels-20501958.jpg,poomsae,,,,,,,,,,,,,,,,,taekwondo stance,
poomsae\pexels-29817836.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts training solo,
poomsae\pexels-30777344.jpg,poomsae,,,,,,,,,,,,,,,,,taekwondo stance,
poomsae\pexels-35018474.jpg,poomsae,,,,,,,,,,,,,,,,,fighting stance pose,
poomsae\pexels-7045368.jpg,poomsae,,,,,,,,,,,,,,,,,taekwondo stance,
poomsae\pexels-7045430.jpg,poomsae,,,,,,,,,,,,,,,,,taekwondo stance,
poomsae\pexels-7045450.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts training solo,
poomsae\pexels-7045457.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts form practice,
poomsae\pexels-7045466.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts form practice,
poomsae\pexels-7045479.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts form practice,
poomsae\pexels-7777423.jpg,poomsae,,,,,,,,,,,,,,,,,fighting stance pose,
poomsae\pexels-7777516.jpg,poomsae,,,,,,,,,,,,,,,,,fighting stance pose,
poomsae\pexels-8097892.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts training solo,
poomsae\pexels-8611335.jpg,poomsae,,,,,,,,,,,,,,,,,fighting stance pose,
poomsae\pexels-9306958.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts form practice,
poomsae\pexels-9306959.jpg,poomsae,,,,,,,,,,,,,,,,,taekwondo stance,
poomsae\pexels-9944853.jpg,poomsae,,,,,,,,,,,,,,,,,martial arts training solo,
space\pexels-11593505.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-12883426.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-13248384.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-14074801.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-17227607.jpg,space,,,,,,,,,,,,,,,,,gym wall mirror,
space\pexels-20414084.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-20414085.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-2643276.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-29224211.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
space\pexels-29332776.jpg,space,,,,,,,,,,,,,,,,,martial arts dojo,
space\pexels-31470217.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-37573625.jpg,space,,,,,,,,,,,,,,,,,yoga studio empty,
space\pexels-38919355.jpg,space,,,,,,,,,,,,,,,,,empty sports hall,
space\pexels-4325467.jpg,space,,,,,,,,,,,,,,,,,training mat floor,
space\pexels-5407033.jpg,space,,,,,,,,,,,,,,,,,empty gym interior,
